time	falCleTruIni.u	falCleTruIni.clr	falCleTruIni.y	falCleFalIni.u	falCleFalIni.clr	falCleFalIni.y	truCleTruIni.u	truCleTruIni.clr	truCleTruIni.y	truCleFalIni.u	truCleFalIni.clr	truCleFalIni.y	swiCleInp.u	swiCleInp.clr	swiCleInp.y	swiCleInp1.u	swiCleInp1.clr	swiCleInp1.y
8.900	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
9.000	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1
9.100	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
9.200	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
9.300	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
9.400	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
9.500	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
9.600	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
9.700	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
9.800	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
9.900	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
10.000	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0
